model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8148013307388112,0.7649221681286271,0.748550724637681,0.756357079749734,0.8709937131468608
LogisticRegression,0.7957567007720796,0.7482541465398854,0.7074168797953965,0.726306255080394,0.8527056434496778
SVC,0.6823614336827568,0.7055336617405582,0.30115089514066495,0.4206058919909562,0.7366092872221593
